"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Abduct","VSS","7th","1 Min.","1 hour","Conjuration","1 mile","V, S, M (a silver saucer)","Bard, Necromancer, Sorcerer, Witch, Wizard","","This spell teleports a creature to your location. Choose a creature known to you within range as the target of this spell. An unwilling creature can make a Charisma saving throw to resist this effect. The target is placed at a location of your choice within 30 feet of you. You choose if the target is sitting, standing, prone, or bound with nearby restraints. At the end of the spell's duration, you can choose whether the target remains at your location or is teleported back to the location from which it was abducted.",""
"Aberate","VSS","2nd","Action","1 minute","Transmutation","Self","V, S","Druid, Sorcerer, Warlock, Wizard","","This spell causes your anatomy to become fluid, constantly refreshing into new and more terrible shapes. For the duration, you do not take extra damage from critical hits. Additionally, your body adapts to threats as it warps. Immediately after you take damage while this spell is active, you can use your reaction to gain resistance to that damage type until this spell ends or until you use this ability again to gain resistance to a different damage type. This resistance does not apply to the triggering damage. ",""
"Abhorrence","DMS","Cantrip","Action","1 minute","Enchantment","30 feet","V, S","Bard, Cleric, Druid, Sorcerer, Wizard","","You temporarily make a creature within range less appealing to others. The target makes a Wisdom saving throw against your spell. On a successful save, the spell is ineffective. On a failed save, the next time the creature makes a Charisma check before the spell ends, roll a d6 and subtract the result from the roll. The spell then ends.",""
"Abhorrent Apparition","DMS","4th","Action","Instantaneous","Illusion","60 feet","M (a gourd with a face carved on it)","Bard, Sorcerer, Wizard","","You imbue a terrifying visage onto a gourd and toss it ahead of you to a spot of your choosing within range. Each creature within 15 feet of that spot takes 6d8 psychic damage and becomes frightened of you for 1 minute; a successful Wisdom saving throw halves the damage and negates the fright. A creature frightened in this way repeats the saving throw at the end of each of its turns, ending the effect on itself on a success."," At Higher Levels. If you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d8 for each slot level above 4th."
"Abi-Dalzim's Horrid Wilting","XGE","8th","Action","Instantaneous","Necromancy","150 feet","V, S, M (a bit of sponge)","Sorcerer, Wizard","","You draw the moisture from every creature in a 30-foot cube centered on a point you choose within range. Each creature in that area must make a Constitution saving throw. Constructs and undead aren't affected, and plants and water elementals make this saving throw with disadvantage. A creature takes 12d8 necrotic damage on a failed save, or half as much damage on a successful one.Nonmagical plants in the area that aren't creatures, such as trees and shrubs, wither and die instantly.",""
"Abrupt Hug","ToH","1st","Reaction","Instantaneous","Transmutation","30 feet","V","Ranger","","You or the creature taking the Attack action can immediately make an unarmed strike. In addition to dealing damage with the unarmed strike, the target can grapple the creature it hit with the unarmed strike.",""
"Absorb Elements","XGE","1st","Reaction","1 round","Abjuration","Self","S","Artificer, Druid, Ranger, Sorcerer, Wizard","","The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st."
"Absorbing Field","DMS","6th","Action","Concentration, up to 1 minute","Abjuration","Self","V, S","Sorcerer, Wizard","","You cloak yourself in a protective field that absorbs incoming magic, rejuvenating your spell slots. When you are the target of a spell (including spells that affect multiple targets, but not area spells such as fireball), make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell has no effect on you and is absorbed by the field. You regain a spell slot of the same level as the spell that was cast against you. If you have no expended spell slots of that level, you don't regain a spell slot, but this spell remains in effect.Even if the spell manages to bypass the field, you gain advantage on your saving throw against the spell, if you need to do one.",""
"Accelerate","DMS","3rd","Action","Concentration, up to 1 minute","Transmutation (Temporal, Clockwork)","Touch","V, S, M (a toy top)","Bard, Cleric, Druid, Sorcerer, Wizard","","Choose up to three willing creatures within range, which can include you. For the duration of the spell, each target's walking speed is doubled. Each target can also use a bonus action on each of its turns to take the Dash action, and it has advantage on Dexterity saving throws."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can affect one additional creature for each slot level above 3rd."
"Accelerate/Decelerate","VSS","1st","Reaction","Instantaneous","Transmutation (chronomancy)","60 feet","V, S, M (a drop of oil or a drop of molasses)","Bard, Sorcerer, Wizard","","This spell speeds up or slows down an attack the instant before it strikes, lessening or multiplying its force. Accelerate. Increase the damage the target takes by 1d6 + your spellcasting modifier. Decelerate. Reduce the damage the target takes by 1d6 + your spellcasting modifier (to a minimum of 0 damage). "," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the change in damage increases by 1d6 for each slot level above 1st. "
"Accused Act","VSS","1st","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S, M (incense or a black candle)","","","Lighting a candle, you speak dark curses in a lost tongue, directed at one creature you can see within range. That creature must make a Wisdom saving throw or be cursed for the duration. While cursed, the creature takes psychic damage once per turn equal to 1d8 + your spellcasting modifier whenever it attacks or casts a spell. If the target doesn't attack or cast a spell on its turn, it can repeat their saving throw at the end of their turn, ending the effect on a success. A remove curse spell ends this curse early. "," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you deal an additional 1d8 psychic damage for each slot level above 1st."
"Acid Gate","DMS","7th","Action","Concentration, up to 1 minute","Conjuration (Alkemancy)","60 feet","V, S, M (a vial of acid and a polished silver mirror worth 125 gp)","Wizard","","You create a portal of swirling, acidic green vapor in an unoccupied space you can see. This portal connects with a target destination within 100 miles that you are personally familiar with and have seen with your own eyes, such as your wizard's tower or an inn you have stayed at. You and up to three creatures of your choice can enter the portal and pass through it, arriving at the target destination (or within 10 feet of it, if it is currently occupied). If the target destination doesn't exist or is inaccessible, the spell automatically fails and the gate doesn't form.Any creature that tries to move through the gate, other than those selected by you when the spell was cast, takes 10d6 acid damage and is teleported 1d100 × 10 feet in a random, horizontal direction. If the creature makes a successful Intelligence saving throw, it can't be teleported by this portal, but it still takes acid damage when it enters the acid-filled portal and every time it ends its turn in contact with it."," At Higher Levels. When you cast this spell using a spell slot of 8th level or higher, you can allow one additional creature to use the gate for each slot level above 7th."
"Acid Rain","DMS","5th","Action","Concentration, up to 1 minute","Conjuration (Alkemancy)","150 feet","V, S, M (a drop of acid)","Sorcerer, Warlock, Wizard","","You unleash a storm of swirling acid in a cylinder 20 feet wide and 30 feet high, centered on a point you can see. The area is heavily obscured by the driving acidfall. A creature that starts its turn in the area or that enters the area for the first time on its turn takes 6d6 acid damage, or half as much damage if it makes a successful Dexterity saving throw. A creature takes half as much damage from the acid (as if it had made a successful saving throw) at the start of its first turn after leaving the affected area."," At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d6 for each slot level above 5th."
"Acid Rain","HGtMH","3rd","Action","Concentration, up to 1 minute","Conjuration","90 feet","V, S, M (a drop of acid)","Druid, Sorcerer, Warlock, Wizard","","With a gentle patter, corrosive raindrops build to an acidic deluge in a 20-foot-radius, 60-foot-tall cylinder, centred on a point within range When the rain begins, each creature in the area must make a Dexterity saving throw, taking 4d6 acid damage on failure or half as much damage on a success For the duration, A creature must also make this saving throw when it enters the spell's area for the first time on its turn or ends its turn there"," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the acid damage increases by 1d6 for each slot level above 3rd."
"Acid Splash","PHB","Cantrip","Action","Instantaneous","Conjuration","60 feet","V, S","Artificer, Necromancer, Sorcerer, Warmage, Witch, Wizard","","You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",""
"Action","VSS","1st","Action","1 round","Transmutation (chronomancy)","30 feet","V, S, M (a shaving of licorice root)","Bard, Paladin, Sorcerer, Witch, Wizard","","Choose a willing creature that you can see within range. During its next turn, the target gains an additional action. That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action. ",""
"Acumen","DMS","Cantrip","Action","Concentration, up to 1 minute","Transmutation","Touch","V, S","Cleric, Druid, Sorcerer, Wizard","","You touch a willing creature. Once before the spell ends, the target can roll a d6 and add the result to one Wisdom check of its choice. It can roll the die before or after making the check. The spell then ends.",""
"Adjust Position","DMS","1st","Bonus","Instantaneous","Transmutation","30 feet","V","Bard, Cleric, Warlock, Wizard","","You adjust the location of an ally to a better tactical position. You move one willing creature within range 5 feet. This movement does not provoke opportunity attacks. The creature moves bodily through the intervening space (as opposed to teleporting), so there can be no physical obstacle (such as a wall or a door) in the path."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target an additional willing creature for each slot level above 1st."
"Adjust Position","ToH","1st","Bonus","Instantaneous","Transmutation","30 feet","V","Bard, Cleric, Warlock, Wizard","","You adjust the location of an ally to a better tactical position. You move one willing creature within range 5 feet. This movement does not provoke opportunity attacks. The creature moves bodily through the intervening space (as opposed to teleporting), so there can be no physical obstacle (such as a wall or a door) in the path."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target an additional willing creature for each slot level above 1st."
"Aerial Alacrity","VSS","2nd","Action","10 minutes","Transmutation","60 feet","V, S, M (a feather from a bird of prey)","Druid, Sorcerer, Witch, Wizard","","Target a willing creature you can see within range that has a flying speed (including those with a temporary or magically bestowed flying speed). That creature gains the following benefits for the duration: • The target can take the Dash action as a bonus action. • The target can hover. • The target has advantage on Dexterity (Acrobatics) checks. • The target doesn't provoke an opportunity attack when it flies out of an enemy's reach. ",""
"Afflict Line","DMS","9th","1 Hr.","Permanent","Necromancy (Elven) (ritual)","1 mile","V, S, M (a statuette carved in the likeness of the victim worth 1,250 gp)","Cleric, Wizard","","You invoke the darkest curses upon your victim and his or her descendants. This spell does not require that you have a clear path to your target, only that your target is within range. The target must make a successful Wisdom saving throw or be cursed until the magic is dispelled. While cursed, the victim has disadvantage on ability checks and saving throws made with the ability score that you used when you cast the spell (i.e. your spellcasting ability). In addition, the target's firstborn offspring is also targeted by the curse. That individual is allowed a saving throw of its own if it is currently alive, or it makes one upon its birth if it is not yet born when the spell is cast. If the target's firstborn has already died, the curse passes to the target's next oldest offspring.Ritual Focus. If you expend your ritual focus, the curse becomes hereditary, passing from firstborn to firstborn for the entire length of the family's lineage until one of them successfully saves against the curse and throws off your dark magic.",""
"After Image","VSS","3rd","Action","10 minutes","Illusion","Self","V, S, M (a silver hand mirror worth 50 gp)","Investigator, Ranger, Sorcerer, Warlock, Wizard","","You create an illusory duplicate of yourself which follows your every movement. When you are hit by an attack during the spell's duration, roll any die. On an odd roll, the attack targets and hits the duplicate instead of you. The duplicate vanishes, reappearing after you move 10 feet or more or take the Dodge action. On an even roll, the attack targets you as normal. ",""
"Aganazzar's Scorcher","XGE","2nd","Action","Instantaneous","Evocation","30 feet","V, S, M (a red dragon's scale)","Sorcerer, Wizard","","A line of roaring flame 30 feet long and 5 feet wide emanates from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 3d8 fire damage on a failed save, or half as much damage on a successful one."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd."
"Agonizing Mark","DMS","1st","Action","Concentration, up to 1 minute","Evocation","90 feet","S","Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","","You choose a creature you can see within range to mark as your prey, and a ray of black energy issues forth from you. Until the spell ends, each time you deal damage to the target it must make a Charisma saving throw. On a failed save, it falls prone as its body is filled with torturous agony.",""
"Aid","PHB","2nd","Action","8 hours","Abjuration","30 feet","V, S, M (a tiny strip of white cloth)","Artificer, Cleric, Martyr, Paladin, Tamer","Bard, Ranger","Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, a target's hit points increase by an additional 5 for each slot level above 2nd."
"Air Bubble","AAG","2nd","Action","24 hours","Conjuration","60 feet","S","Artificer, Druid, Ranger, Sorcerer, Wizard","","You create a spectral globe around the head of a willing creature you can see within range. The globe is filled with fresh air that lasts until the spell ends. If the creature has more than one head, the globe of air appears around only one of its heads (which is all the creature needs to avoid suffocation, assuming that all its heads share the same respiratory system)."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can create two additional globes of fresh air for each slot level above 2nd."
"Alarm","PHB","1st","1 Min.","8 hours","Abjuration (ritual)","30 feet","V, S, M (a tiny bell and a piece of fine silver wire)","Artificer, Investigator, Necromancer, Ranger, Wizard","","You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.",""
"Alchemical Form","DMS","6th","Action","1 minute","Transmutation (Alkemancy)","Self","V, S, M (a vial of acid, poison, or alchemist's fire)","Wizard","","You transform into an amoebic form composed of highly acidic and poisonous alchemical jelly. While in this form:• you are immune to acid and poison damage and to the poisoned and stunned conditions;• you have resistance to nonmagical fire, piercing, and slashing damage;• you can't speak, cast spells, use items or weapons, or manipulate objects;• your gear melds into your body and reappears when the spell ends;• you don't need to breathe;• your speed is 20 feet;• your size doesn't change, but you can move through and between obstructions as if you were two size categories smaller; and• you gain the following action: Melee Weapon Attack: spellcasting ability modifier + proficiency bonus to hit, range 5 ft., one target; Hit: 4d6 acid or poison damage (your choice), and the target must make a successful Constitution saving throw or be poisoned until the start of your next turn.",""
"Ale-dritch Blast","DMS","Cantrip","Action","Instantaneous","Conjuration","60 feet","V, S","Bard, Druid, Wizard","","A stream of ice-cold ale blasts from your outstretched hands toward a creature or object within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage and it must make a successful Constitution saving throw or be poisoned until the end of its next turn. A targeted creature has disadvantage on the saving throw if it has drunk any alcohol within the last hour.The damage increases when you reach higher levels: 2d8 at 5th level, 3d8 at 11th level, and 4d8 at 17th level.",""
"Allure","DMS","Cantrip","Action","Concentration, up to 1 minute","Transmutation","Touch","V, S","Bard, Cleric, Druid, Sorcerer, Wizard","","You touch a willing creature. Once before the spell ends, the target can roll a d6 and add the result to one Charisma check of its choice. It can roll the die before or after making the check. The spell then ends.",""
"Ally Aegis","DMS","6th","Reaction","1 round","Abjuration","60 feet","V, S","Bard, Cleric, Sorcerer, Wizard","","When you see an ally within range in imminent danger, you can use your reaction to protect that creature with a shield of magical force. Until the start of your next turn, your ally has a +5 bonus to AC and is immune to force damage. In addition, if your ally must make a saving throw against an enemy's spell that deals damage, the ally takes half as much damage on a failed saving throw and no damage on a successful save. Ally aegis offers no protection, however, against psychic damage from any source."," At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, you can target one additional ally for each slot level above 6th."
"Alone","DMS","3rd","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S","Cleric, Sorcerer, Warlock, Wizard","","You cause a creature within range to believe its allies have been banished to a different realm. The target must succeed on a Wisdom saving throw, or it treats its allies as if they were invisible and silenced. The affected creature cannot target, perceive, or otherwise interact with its allies for the duration of the spell. If one of its allies hits it with a melee attack, the affected creature can make another Wisdom saving throw. On a successful save, the spell ends.",""
"Alter Arrow's Fortune","DMS","1st","Reaction","Instantaneous","Divination","100 feet","S","Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","","You clap your hands, setting off a chain of tiny events that culminate in throwing off an enemy's aim. When an enemy makes a ranged attack with a weapon or a spell that hits one of your allies, this spell causes the enemy to reroll the attack roll unless the enemy makes a successful Charisma saving throw. The attack is resolved using the lower of the two rolls (effectively giving the enemy disadvantage on the attack).",""
